Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759428586043,11923.864944458008,2320,1,0.78125,11923.864944458008,2320,1,0.78125,11796.638763427734,2900,1,0.8875,11796.638763427734,2900,1,0.8875,13844.102127075195,2900,1,0.78125,13844.102127075195,2900,1,0.88125,11234.50112915039,2900,1,0.8875,11234.50112915039,2900,1,0.8875,6527.876174926758,4065,1102,4434,4441,4441,1102,3824,4441,4441,2314,4442,1102,3841,1102,3586,1102,5.555555820465088,7.894736289978027,11.111111640930176,2.777777910232544,2.777777910232544,5.405405521392822,5.555555820465088,5.555555820465088,5.555555820465088,2.777777910232544,5.405405521392822,2.777777910232544,5.405405521392822,5.405405521392822,5.555555820465088,8.108107566833496,13958320128,0,9462693888,0
199,1759428586043,11923.865234375,2320,1,0.78125,11923.865524291992,2320,1,0.78125,11796.639205932617,2320,1,0.7875,11796.639205932617,2320,1,0.7875,13844.102615356445,2320,1,0.78125,13844.102615356445,2320,1,0.78125,11234.504425048828,2900,1,0.8875,11234.504425048828,2900,1,0.8875,6527.898590087891,4065,1102,4434,4441,4441,1102,3824,4441,4441,2314,4442,1102,3841,1102,3586,1102,5.555555820465088,7.894736289978027,11.111111640930176,2.777777910232544,2.777777910232544,5.405405521392822,5.555555820465088,5.555555820465088,5.555555820465088,2.777777910232544,5.405405521392822,2.777777910232544,5.405405521392822,5.405405521392822,5.555555820465088,8.108107566833496,13958320128,0,9462693888,0
200,1759428586243,11924.118225097656,3560,0,1.025,11924.118225097656,3560,0,1.025,11796.872131347656,3560,0,1.03125,11796.872131347656,3560,0,1.03125,13844.344955444336,3560,0,1.03125,13844.344955444336,3560,0,1.03125,11234.737930297852,3560,0,1.03125,11234.737930297852,3560,0,1.03125,6532.059463500977,4065,1102,4434,4441,4441,1102,3824,4441,4441,2314,4442,1102,3841,1102,3586,1102,42.85714340209961,42.105262756347656,42.85714340209961,45,50,40,80.95238494873047,42.85714340209961,42.105262756347656,40,45,42.85714340209961,45,40,42.85714340209961,40,13958320128,0,9498484736,0
1,1759428586444,11924.14241027832,2320,1,0.78125,11924.14241027832,2320,1,0.76875,11796.908508300781,2320,1,0.7875,11796.908508300781,2320,1,0.7875,13844.356201171875,2320,1,0.78125,13844.356201171875,2320,1,0.78125,11234.76107788086,2320,1,0.78125,11234.76107788086,2320,1,0.78125,6533.93928527832,4065,1102,4434,4441,4441,1102,3824,4441,4441,2314,4442,1102,3841,1102,3586,1102,0,0,0,4.761904716491699,9.523809432983398,0,45,0,9.090909004211426,0,0,0,0,0,0,0,13958320128,0,9498501120,0
