Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760599024547,41478.18264770508,4450,0,1.28125,41478.18264770508,4450,0,1.28125,41758.17269897461,3560,0,1.025,41758.17269897461,3560,0,1.025,50375.75868225098,3560,0,1.025,50375.75868225098,3560,0,1.025,39878.157806396484,3560,0,1.025,39878.157806396484,3560,0,1.025,50534.03253173828,1102,3552,3582,1102,3553,1102,4292,3619,4441,1102,3552,1102,3568,1102,1102,3687,0,3.0303030014038086,3.125,0,0,3.0303030014038086,3.125,3.125,3.125,0,3.125,0,0,3.125,6.060606002807617,3.125,13958311936,0,2239721472,0
200,1760599024547,41478.18264770508,4450,0,1.28125,41478.18264770508,4450,0,1.28125,41758.1731262207,3560,0,1.03125,41758.1731262207,3560,0,1.03125,50375.75942993164,3560,0,1.025,50375.75942993164,3560,0,1.025,39878.15838623047,3560,0,1.025,39878.15838623047,3560,0,1.025,50534.05682373047,1102,3552,3582,1102,3553,1102,4292,3619,4441,1102,3552,1102,3568,1102,1102,3687,0,3.0303030014038086,3.125,0,0,3.0303030014038086,3.125,3.125,3.125,0,3.125,0,0,3.125,6.060606002807617,3.125,13958311936,0,2239721472,0
199,1760599024747,41478.40365600586,3560,0,1.025,41478.40365600586,3560,0,1.025,41758.38427734375,3560,0,1.03125,41758.38427734375,3560,0,1.03125,50376.06198120117,3560,0,1.025,50376.06198120117,3560,0,1.025,39878.364501953125,3560,0,1.03125,39878.364501953125,3560,0,1.03125,50538.7900390625,1102,3552,3582,1102,3553,1102,4292,3619,4441,1102,3552,1102,3568,1102,1102,3687,40,40,95,42.85714340209961,42.85714340209961,42.105262756347656,42.105262756347656,42.85714340209961,40,42.85714340209961,45,42.85714340209961,45,42.85714340209961,40,42.85714340209961,13958311936,0,2280972288,0
199,1760599024947,41478.405853271484,3560,0,1.025,41478.405853271484,3560,0,1.025,41758.38475036621,3560,0,1.025,41758.38475036621,3560,0,1.025,50376.070861816406,3560,0,1.025,50376.070861816406,3560,0,1.025,39878.364990234375,3560,0,1.03125,39878.364990234375,3560,0,1.03125,50542.71629333496,1102,3552,3582,1102,3553,1102,4292,3619,4441,1102,3552,1102,3568,1102,1102,3687,4.761904716491699,0,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,13958311936,0,2317537280,0
200,1760599025147,41478.41148376465,3900,0,1.11875,41478.41148376465,3900,0,1.11875,41758.384841918945,3120,1,0.925,41758.384841918945,3120,1,0.925,50376.20594787598,3900,0,1.125,50376.20594787598,3900,0,1.125,39878.36512756348,3120,1,0.925,39878.36512756348,3120,1,0.925,50547.05186462402,1102,3552,3582,1102,3553,1102,4292,3619,4441,1102,3552,1102,3568,1102,1102,3687,0,0,100,0,25,0,25,0,0,0,28.571430206298828,0,0,0,0,0,13958311936,0,2355691520,0
1,1760599025348,41478.42790222168,4450,0,1.28125,41478.42790222168,4450,0,1.28125,41758.3908996582,3560,0,1.03125,41758.3908996582,3560,0,1.03125,50376.32194519043,3560,0,1.025,50376.32194519043,3560,0,1.025,39878.37211608887,3560,0,1.025,39878.37211608887,3560,0,1.025,50549.9567565918,1102,3552,3582,1102,3553,1102,4292,3619,4441,1102,3552,1102,3568,1102,1102,3687,0,0,25,23.809524536132813,26.3157901763916,0,25,5,0,0,25,0,0,0,0,0,13958311936,0,2276048896,0
