Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759428081292,11294.473266601563,2900,1,0.88125,11294.473266601563,2900,1,0.88125,11176.204574584961,2900,1,0.8875,11176.204574584961,2900,1,0.8875,13156.13313293457,2900,1,0.88125,13156.13412475586,2900,1,0.88125,10617.703887939453,2320,1,0.78125,10617.703887939453,2320,1,0.78125,63750.52195739746,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,5.263157844543457,5.128205299377441,5.263157844543457,5.263157844543457,2.702702760696411,2.6315789222717285,7.692307949066162,7.692307949066162,5.405405521392822,5.263157844543457,5.405405521392822,2.6315789222717285,2.702702760696411,5.128205299377441,7.894736289978027,0,13958320128,0,9377406976,0
199,1759428081292,11294.473678588867,2320,1,0.78125,11294.473678588867,2320,1,0.78125,11176.207290649414,2900,1,0.8875,11176.207290649414,2900,1,0.8875,13156.135009765625,2900,1,0.88125,13156.135009765625,2900,1,0.88125,10617.704116821289,2320,1,0.78125,10617.704116821289,2320,1,0.78125,63750.53044128418,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,5.263157844543457,5.128205299377441,5.263157844543457,5.263157844543457,2.702702760696411,2.6315789222717285,7.692307949066162,7.692307949066162,5.405405521392822,5.263157844543457,5.405405521392822,2.6315789222717285,2.702702760696411,5.128205299377441,7.894736289978027,0,13958320128,0,9377406976,0
199,1759428081492,11294.500518798828,3560,0,1.025,11294.500518798828,3560,0,1.025,11176.276611328125,3560,0,1.025,11176.276611328125,3560,0,1.025,13156.146255493164,3560,0,1.025,13156.146255493164,3560,0,1.025,10617.729888916016,3560,0,1.03125,10617.729888916016,3560,0,1.03125,63753.44317626953,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,4.761904716491699,0,68.42105102539063,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,9.523809432983398,0,13958320128,0,9399660544,0
199,1759428081692,11294.524810791016,2320,1,0.78125,11294.524810791016,2320,1,0.78125,11176.335006713867,2320,1,0.7875,11176.335006713867,2320,1,0.7875,13156.178955078125,2900,1,0.88125,13156.178955078125,2900,1,0.88125,10617.766586303711,2900,1,0.8875,10617.766586303711,2900,1,0.8875,63756.10752868652,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,0,0,59.09090805053711,0,0,0,0,0,0,0,0,0,0,0,0,0,13958320128,0,9420517376,0
200,1759428081892,11294.533996582031,2900,1,0.88125,11294.533996582031,2900,1,0.88125,11176.361312866211,2320,1,0.7875,11176.361312866211,2320,1,0.7875,13156.194808959961,2320,1,0.78125,13156.194808959961,2320,1,0.78125,10617.778793334961,2900,1,0.8875,10617.778793334961,2320,1,0.78125,63756.979553222656,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,9.523809432983398,0,10,0,0,0,0,0,9.523809432983398,5,5,0,0,0,0,0,13958320128,0,9417609216,0
199,1759428082093,11294.562408447266,2320,1,0.78125,11294.562408447266,2320,1,0.78125,11176.372924804688,2320,1,0.7875,11176.372924804688,2320,1,0.7875,13156.218139648438,2320,1,0.78125,13156.218139648438,2320,1,0.78125,10617.79476928711,2320,1,0.78125,10617.79476928711,2320,1,0.78125,63757.76010131836,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,0,0,4.761904716491699,0,5,0,9.523809432983398,0,0,0,0,0,9.090909004211426,0,0,0,13958320128,0,9416572928,0
199,1759428082293,11294.569595336914,2320,1,0.78125,11294.569595336914,2320,1,0.78125,11176.38410949707,2320,1,0.7875,11176.38410949707,2320,1,0.7875,13156.229370117188,2320,1,0.78125,13156.229370117188,2320,1,0.78125,10617.807220458984,2320,1,0.78125,10617.807220458984,2320,1,0.78125,63758.44317626953,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,0,0,4.761904716491699,0,5,0,9.523809432983398,0,0,0,0,0,9.090909004211426,0,0,0,13958320128,0,9416572928,0
200,1759428082493,11294.576400756836,2320,1,0.78125,11294.576416015625,2320,1,0.78125,11176.394073486328,2900,1,0.8875,11176.394073486328,2900,1,0.8875,13156.245162963867,2320,1,0.88125,13156.245162963867,2320,1,0.78125,10617.826263427734,2320,1,0.78125,10617.826263427734,2320,1,0.78125,63759.20626831055,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,0,0,2.6315789222717285,0,2.5,0,7.500000476837158,0,2.5,0,2.5,0,0,0,0,0,13958320128,0,9415946240,0
199,1759428082693,11294.582061767578,2320,1,0.78125,11294.582061767578,2320,1,0.78125,11176.413482666016,2320,1,0.7875,11176.413482666016,2320,1,0.7875,13156.260330200195,2320,1,0.78125,13156.260330200195,2320,1,0.78125,10617.836517333984,2320,1,0.78125,10617.836517333984,2320,1,0.78125,63759.94299316406,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,0,0,4.761904716491699,0,5,0,5,0,0,0,0,0,4.761904716491699,0,0,0,13958320128,0,9415204864,0
199,1759428082893,11294.584747314453,2320,1,0.78125,11294.584747314453,2320,1,0.78125,11176.422088623047,2320,1,0.7875,11176.422088623047,2320,1,0.7875,13156.277038574219,2320,1,0.78125,13156.27717590332,2320,1,0.78125,10617.842239379883,2320,1,0.78125,10617.842239379883,2320,1,0.78125,63760.6877746582,3182,3153,3173,3164,3375,1102,3031,3655,3171,3184,3594,1102,3955,1102,3221,1102,0,0,5,0,5,0,5.263157844543457,0,0,0,0,0,5,0,0,0,13958320128,0,9409724416,0
