Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759419031159,1833.59521484375,2320,1,0.78125,1833.59521484375,2320,1,0.78125,1801.7747192382813,2320,1,0.7875,1801.7747192382813,2320,1,0.7875,2105.047103881836,2320,1,0.775,2105.047103881836,2320,1,0.775,1685.1600494384766,2900,1,0.88125,1685.1600494384766,2900,1,0.88125,43302.90603637695,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,7.692307949066162,7.500000476837158,10.526315689086914,2.702702760696411,5.263157844543457,5.263157844543457,7.692307949066162,7.692307949066162,5.263157844543457,5.263157844543457,5.128205299377441,7.692307949066162,7.894736289978027,5.263157844543457,5.263157844543457,2.702702760696411,13958320128,0,9627377664,0
199,1759419031159,1833.5955657958984,2900,1,0.88125,1833.5955657958984,2900,1,0.88125,1801.7752380371094,2900,1,0.8875,1801.7752380371094,2900,1,0.8875,2105.0477752685547,2320,1,0.775,2105.0477752685547,2320,1,0.775,1685.1623229980469,2900,1,0.88125,1685.1623229980469,2900,1,0.88125,43302.92826843262,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,7.692307949066162,7.500000476837158,10.526315689086914,2.702702760696411,5.263157844543457,5.263157844543457,7.692307949066162,7.692307949066162,5.263157844543457,5.263157844543457,5.128205299377441,7.692307949066162,7.894736289978027,5.263157844543457,5.263157844543457,2.702702760696411,13958320128,0,9627377664,0
199,1759419031359,1833.6257019042969,3560,0,1.025,1833.6257019042969,3560,0,1.025,1801.8167266845703,3560,0,1.03125,1801.8167266845703,3560,0,1.03125,2105.0816955566406,3560,0,1.03125,2105.0816955566406,3560,0,1.03125,1685.1855773925781,3560,0,1.03125,1685.1855773925781,3560,0,1.03125,43305.73329162598,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,0,0,57.894737243652344,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,13958320128,0,9646833664,0
199,1759419031559,1833.650375366211,3560,0,1.025,1833.650375366211,3560,0,1.025,1801.8428802490234,3560,0,1.03125,1801.8428802490234,3560,0,1.03125,2105.104736328125,3560,0,1.025,2105.104736328125,3560,0,1.025,1685.214599609375,3560,0,1.03125,1685.214599609375,3560,0,1.03125,43308.943786621094,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,13958320128,0,9661394944,0
199,1759419031759,1833.6716003417969,2900,1,0.88125,1833.6716003417969,2900,1,0.88125,1801.8600006103516,2900,1,0.8875,1801.8600006103516,2900,1,0.8875,2105.1255645751953,2900,1,0.88125,2105.1255645751953,2900,1,0.88125,1685.2525482177734,2320,1,0.78125,1685.2525482177734,2320,1,0.78125,43310.080810546875,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,4.761904716491699,0,10.526315689086914,0,0,4.761904716491699,0,5,4.761904716491699,0,4.761904716491699,0,0,5,0,4.761904716491699,13958320128,0,9660903424,0
200,1759419031959,1833.6785278320313,2900,1,0.88125,1833.6785278320313,2900,1,0.88125,1801.8643798828125,2320,1,0.7875,1801.8643798828125,2320,1,0.7875,2105.134231567383,2900,1,0.8875,2105.134231567383,2900,1,0.88125,1685.2632904052734,2320,1,0.78125,1685.2632904052734,2320,1,0.78125,43310.97088623047,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,5,0,5,0,10,4.761904716491699,0,4.761904716491699,0,0,5,0,0,0,0,0,13958320128,0,9660858368,0
199,1759419032160,1833.697525024414,2320,1,0.78125,1833.697525024414,2900,1,0.88125,1801.8680267333984,2900,1,0.8875,1801.8680267333984,2900,1,0.8875,2105.148483276367,2900,1,0.88125,2105.148483276367,2900,1,0.88125,1685.2704772949219,2320,1,0.78125,1685.2704772949219,2320,1,0.78125,43311.78762817383,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,0,0,0,0,5,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,13958320128,0,9660858368,0
199,1759419032360,1833.705810546875,2900,1,0.88125,1833.705810546875,2900,1,0.88125,1801.8902893066406,2320,1,0.7875,1801.8902893066406,2320,1,0.7875,2105.158645629883,2900,1,0.88125,2105.158645629883,2900,1,0.88125,1685.294937133789,2320,1,0.78125,1685.294937133789,2320,1,0.78125,43312.72198486328,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,0,0,0,0,5,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,13958320128,0,9660858368,0
199,1759419032560,1833.7168731689453,2320,1,0.78125,1833.7168731689453,2320,1,0.78125,1801.907485961914,2900,1,0.8875,1801.907485961914,2900,1,0.8875,2105.167709350586,2320,1,0.78125,2105.167709350586,2320,1,0.78125,1685.311264038086,2900,1,0.8875,1685.311264038086,2900,1,0.8875,43313.64604187012,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,0,0,5,0,2.5,0,2.5641026496887207,0,5,0,0,0,2.4390242099761963,0,0,0,13958320128,0,9660858368,0
199,1759419032760,1833.727035522461,2900,1,0.88125,1833.72705078125,2900,1,0.88125,1801.9210510253906,2900,1,0.8875,1801.9210510253906,2320,1,0.8875,2105.188751220703,2320,1,0.78125,2105.188751220703,2320,1,0.78125,1685.3277587890625,2320,1,0.78125,1685.3277587890625,2320,1,0.78125,43314.50456237793,3552,1102,3553,3557,4443,3552,3549,3553,3546,3552,3556,3765,4441,4440,3553,3553,4.761904716491699,0,0,0,10,0,5,4.761904716491699,0,0,5,0,0,0,0,0,13958320128,0,9658662912,0
