Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760567982677,18694.993286132813,4450,0,1.28125,18694.993286132813,4450,0,1.28125,18795.208572387695,3560,0,1.025,18795.208572387695,3560,0,1.025,22702.357345581055,4450,0,1.28125,22702.357345581055,4450,0,1.28125,17914.634368896484,3560,0,1.025,17914.634368896484,3560,0,1.025,46624.46432495117,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,0,0,2.6315789222717285,2.702702760696411,5.263157844543457,0,2.702702760696411,0,2.6315789222717285,5.128205299377441,0,5.263157844543457,2.6315789222717285,0,2.6315789222717285,5.263157844543457,13958311936,0,2204688384,0
199,1760567982677,18694.993286132813,3560,0,1.025,18694.993286132813,3560,0,1.025,18795.20915222168,3560,0,1.025,18795.20915222168,3560,0,1.025,22702.361297607422,4450,0,1.28125,22702.361297607422,4450,0,1.28125,17914.6396484375,3560,0,1.025,17914.6396484375,3560,0,1.025,46624.48866271973,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,0,0,2.6315789222717285,2.702702760696411,5.263157844543457,0,2.702702760696411,0,2.6315789222717285,5.128205299377441,0,5.263157844543457,2.6315789222717285,0,2.6315789222717285,5.263157844543457,13958311936,0,2204688384,0
199,1760567982877,18695.19662475586,3560,0,1,18695.19662475586,3560,0,1,18795.52325439453,3560,0,1.00625,18795.52325439453,3560,0,1.025,22702.788787841797,3560,0,1.025,22702.788787841797,3560,0,1.025,17914.930145263672,3560,0,1.03125,17914.930145263672,3560,0,1.03125,46629.22396850586,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,40,45,45,71.42857360839844,40,42.85714340209961,40,42.85714340209961,50,40,50,40,42.85714340209961,50,40,40,13958311936,0,2242658304,0
199,1760567983077,18695.199127197266,3560,0,1.025,18695.199127197266,3560,0,1.025,18795.52407836914,3560,0,1.025,18795.52407836914,3560,0,1.025,22702.790405273438,3560,0,1.025,22702.790405273438,3560,0,1.025,17914.930862426758,3560,0,1.03125,17914.930862426758,3560,0,1.03125,46633.13037109375,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,4.761904716491699,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2289106944,0
199,1760567983277,18695.20428466797,4450,0,1.28125,18695.20428466797,4450,0,1.28125,18795.543395996094,4450,0,1.2875,18795.543395996094,4450,0,1.2875,22702.792205810547,4450,0,1.2875,22702.792205810547,4450,0,1.2875,17914.932846069336,3560,0,1.03125,17914.932846069336,3560,0,1.03125,46636.93943786621,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2337546240,0
199,1760567983477,18695.20913696289,3460,0,1,18695.20913696289,3460,0,1,18795.550033569336,3460,0,1.00625,18795.552276611328,3460,0,1.00625,22703.196899414063,4325,0,1.25625,22703.196899414063,4325,0,1.25625,17914.93292236328,3160,0,1.00625,17914.93292236328,3160,0,1.00625,46642.09539794922,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2340102144,0
200,1760567983677,18695.218200683594,3560,0,1.025,18695.218200683594,3560,0,1.025,18795.55630493164,3560,0,1.025,18795.55630493164,3560,0,1.025,22703.56591796875,3560,0,1.025,22703.56591796875,3560,0,1.025,17914.933059692383,3560,0,1.03125,17914.933059692383,3560,0,1.03125,46646.99659729004,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,0,0,0,100,80,0,80,0,0,0,80,0,0,0,0,0,13958311936,0,2340102144,0
1,1760567983877,18695.223739624023,3560,0,1.025,18695.223739624023,3560,0,1.025,18795.563385009766,3560,0,1.03125,18795.563385009766,3560,0,1.03125,22703.566116333008,3560,0,1.025,22703.566116333008,3560,0,1.025,17914.973663330078,3560,0,1.025,17914.973663330078,3560,0,1.025,46648.58346557617,3553,1102,3728,2470,4129,1102,4321,3552,3551,1102,3553,3550,4440,1102,1102,4240,4.761904716491699,0,19.047618865966797,0,5,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2281144320,0
