Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760555687485,8290.270553588867,3560,0,1.025,8290.270553588867,3560,0,1.025,8424.142990112305,4450,0,1.2875,8424.142990112305,3560,0,1.025,10008.773681640625,3560,0,1.025,10008.773681640625,3560,0,1.025,7956.416351318359,4450,0,1.29375,7956.416351318359,4450,0,1.29375,4022.075164794922,3551,3552,1102,4252,4441,1102,4145,1102,3553,1102,3552,1102,4411,1102,3552,1102,0,2.5,2.5641026496887207,5,0,2.5,2.5641026496887207,2.5,0,2.5641026496887207,7.692307949066162,2.5641026496887207,0,2.5641026496887207,5,2.5,13958311936,0,2207014912,0
200,1760555687485,8290.270553588867,3560,0,1.025,8290.270919799805,3560,0,1.025,8424.143325805664,3560,0,1.025,8424.143325805664,3560,0,1.025,10008.774444580078,3560,0,1.025,10008.774444580078,3560,0,1.025,7956.420211791992,4450,0,1.29375,7956.420211791992,4450,0,1.29375,4022.0995483398438,3551,3552,1102,4252,4441,1102,4145,1102,3553,1102,3552,1102,4411,1102,3552,1102,0,2.5,2.5641026496887207,5,0,2.5,2.5641026496887207,2.5,0,2.5641026496887207,7.692307949066162,2.5641026496887207,0,2.5641026496887207,5,2.5,13958311936,0,2207014912,0
199,1760555687685,8290.487747192383,3560,0,1.025,8290.487747192383,3560,0,1.025,8424.436126708984,3560,0,1.025,8424.436126708984,3560,0,1.025,10008.977798461914,3560,0,1.025,10008.977798461914,3560,0,1.025,7956.629974365234,3560,0,1.025,7956.629974365234,3560,0,1.025,4026.8165588378906,3551,3552,1102,4252,4441,1102,4145,1102,3553,1102,3552,1102,4411,1102,3552,1102,42.85714340209961,42.85714340209961,40,40,45,42.85714340209961,94.73684692382813,40,47.619049072265625,40,40,40,42.85714340209961,40,40,42.85714340209961,13958311936,0,2245832704,0
199,1760555687885,8290.599700927734,3560,0,1.025,8290.599700927734,3560,0,1.025,8424.436630249023,3560,0,1.025,8424.436630249023,3560,0,1.025,10008.979141235352,3560,0,1.025,10008.979141235352,3560,0,1.025,7956.63996887207,3560,0,1.025,7956.63996887207,3560,0,1.025,4030.9812622070313,3551,3552,1102,4252,4441,1102,4145,1102,3553,1102,3552,1102,4411,1102,3552,1102,10,0,15.789472579956055,0,0,0,71.42857360839844,0,0,0,0,0,0,0,0,0,13958311936,0,2283319296,0
200,1760555688085,8290.605270385742,4100,0,1.19375,8290.605270385742,4100,0,1.19375,8424.440307617188,3279.9999999999995,0,0.9625,8424.440307617188,3279.9999999999995,0,0.9625,10009.119110107422,4100,0,1.2,10009.119110107422,4100,0,1.2,7956.640090942383,3279.9999999999995,0,0.9625,7956.640090942383,3279.9999999999995,0,0.9625,4035.287139892578,3551,3552,1102,4252,4441,1102,4145,1102,3553,1102,3552,1102,4411,1102,3552,1102,0,0,100,0,0,26.3157901763916,26.3157901763916,0,0,0,28.571430206298828,0,0,0,0,0,13958311936,0,2323795968,0
1,1760555688286,8290.613906860352,4450,0,1.28125,8290.614044189453,4450,0,1.28125,8424.443252563477,3560,0,1.025,8424.443252563477,3560,0,1.025,10009.229309082031,3560,0,1.025,10009.229309082031,3560,0,1.025,7956.647476196289,3560,0,1.025,7956.647476196289,3560,0,1.025,4037.895950317383,3551,3552,1102,4252,4441,1102,4145,1102,3553,1102,3552,1102,4411,1102,3552,1102,0,0,28.571430206298828,0,0,25,47.619049072265625,0,0,0,21.052631378173828,0,0,4.761904716491699,0,0,13958311936,0,2300649472,0
