Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759422219291,5115.720062255859,2320,1,0.78125,5115.720062255859,2320,1,0.78125,5072.835800170898,2320,1,0.7875,5072.835800170898,2320,1,0.7875,5947.49528503418,2320,1,0.78125,5947.49528503418,2320,1,0.78125,4765.12467956543,2320,1,0.78125,4765.12467956543,2320,1,0.78125,30927.021850585938,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,5.263157844543457,2.6315789222717285,5.405405521392822,5.128205299377441,10.526315689086914,5.263157844543457,8.108107566833496,2.6315789222717285,5.263157844543457,7.692307949066162,7.500000476837158,2.6315789222717285,2.702702760696411,7.500000476837158,5.263157844543457,5.128205299377441,13958320128,0,9332809728,0
199,1759422219292,5115.720275878906,2320,1,0.78125,5115.720275878906,2320,1,0.78125,5072.8359375,2320,1,0.7875,5072.8359375,2320,1,0.7875,5947.4967041015625,2320,1,0.78125,5947.4967041015625,2320,1,0.78125,4765.12483215332,2320,1,0.78125,4765.12483215332,2320,1,0.78125,30927.030517578125,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,5.263157844543457,2.6315789222717285,5.405405521392822,5.128205299377441,10.526315689086914,5.263157844543457,8.108107566833496,2.6315789222717285,5.263157844543457,7.692307949066162,7.500000476837158,2.6315789222717285,2.702702760696411,7.500000476837158,5.263157844543457,5.128205299377441,13958320128,0,9333141504,0
199,1759422219492,5115.745651245117,3560,0,1.025,5115.745651245117,3560,0,1.025,5072.877182006836,3560,0,1.025,5072.877182006836,3560,0,1.025,5947.512268066406,3560,0,1.025,5947.512268066406,3560,0,1.025,4765.161697387695,3560,0,1.03125,4765.161697387695,3560,0,1.03125,30930.55079650879,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,4.761904716491699,0,95,4.761904716491699,0,0,9.523809432983398,0,4.761904716491699,0,0,0,9.523809432983398,0,0,0,13958320128,0,9357275136,0
199,1759422219692,5115.769500732422,2400,1,0.79375,5115.769500732422,2400,1,0.79375,5072.8858642578125,2900,1,0.8875,5072.8858642578125,2900,1,0.8875,5947.541091918945,2320,1,0.78125,5947.541091918945,2320,1,0.78125,4765.182952880859,2320,1,0.78125,4765.182952880859,2320,1,0.78125,30932.19789123535,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,5,0,30.000001907348633,0,0,0,5,0,0,0,0,0,0,0,0,0,13958320128,0,9359044608,0
200,1759422219892,5115.776672363281,2900,1,0.88125,5115.776672363281,2900,1,0.88125,5072.895523071289,2900,1,0.8875,5072.895523071289,2900,1,0.8875,5947.555328369141,2320,1,0.78125,5947.555328369141,2320,1,0.78125,4765.187316894531,2900,1,0.8875,4765.187316894531,2900,1,0.8875,30933.008010864258,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,5,0,9.523809432983398,0,9.090909004211426,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,5,0,13958320128,0,9357668352,0
199,1759422220092,5115.803314208984,2320,1,0.78125,5115.803314208984,2320,1,0.78125,5072.916213989258,2900,1,0.8875,5072.916213989258,2900,1,0.8875,5947.562683105469,2320,1,0.78125,5947.562683105469,2320,1,0.78125,4765.193206787109,2900,1,0.8875,4765.193206787109,2900,1,0.8875,30933.973220825195,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,0,4.761904716491699,5,0,0,0,10,0,0,0,4.761904716491699,0,0,0,0,0,13958320128,0,9353482240,0
199,1759422220292,5115.895812988281,3560,0,1.025,5115.895812988281,3560,0,1.025,5072.995941162109,4450,0,1.2875,5072.995941162109,4450,0,1.2875,5947.6007080078125,3560,0,1.025,5947.6007080078125,3560,0,1.025,4765.2135009765625,3560,0,1.025,4765.2135009765625,3560,0,1.025,30935.85235595703,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,0,4.761904716491699,5,0,0,0,10,0,0,0,4.761904716491699,0,0,0,0,0,13958320128,0,9363607552,0
199,1759422220493,5115.904052734375,2900,1,0.88125,5115.904083251953,2900,1,0.88125,5073.012069702148,2900,1,0.8875,5073.012069702148,2900,1,0.8875,5947.607696533203,2900,1,0.78125,5947.607696533203,2900,1,0.88125,4765.217971801758,2900,1,0.8875,4765.217971801758,2900,1,0.8875,30936.73176574707,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,2.5641026496887207,0,5.128205299377441,0,9.756096839904785,0,20,0,7.317072868347168,0,2.5,0,0,0,2.5,0,13958320128,0,9363607552,0
199,1759422220693,5115.9090576171875,2900,1,0.88125,5115.9090576171875,2900,1,0.88125,5073.020126342773,2900,1,0.8875,5073.020126342773,2900,1,0.8875,5947.621063232422,2320,1,0.78125,5947.621063232422,2320,1,0.78125,4765.233245849609,2320,1,0.78125,4765.233245849609,2320,1,0.78125,30937.593002319336,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,0,0,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,0,0,13958320128,0,9363607552,0
199,1759422220893,5115.919357299805,2900,1,0.88125,5115.919357299805,2900,1,0.88125,5073.034927368164,2900,1,0.8875,5073.034927368164,2900,1,0.8875,5947.637832641602,2900,1,0.88125,5947.637832641602,2900,1,0.88125,4765.245635986328,2320,1,0.78125,4765.245635986328,2320,1,0.78125,30938.440048217773,3553,1102,4441,1102,4441,4450,4454,4440,3879,3132,4440,4433,3545,1102,2800,1102,5,0,9.523809432983398,5,5,0,0,0,5,0,5,0,0,0,4.761904716491699,0,13958320128,0,9362984960,0
