Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760595749295,39126.40704345703,3560,0,1.025,39126.40704345703,3560,0,1.025,39420.46180725098,4450,0,1.2875,39420.46180725098,4450,0,1.2875,47444.49044799805,3560,0,1.025,47444.49044799805,3560,0,1.025,37673.90350341797,3560,0,1.025,37673.90350341797,3560,0,1.025,5968.439636230469,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,0,2.941176414489746,2.941176414489746,2.857142925262451,2.857142925262451,0,5.714285850524902,2.777777910232544,5.555555820465088,0,2.857142925262451,5.405405521392822,2.857142925262451,2.857142925262451,2.941176414489746,2.857142925262451,13958311936,0,2209013760,0
199,1760595749295,39126.40756225586,3560,0,1.025,39126.40756225586,3560,0,1.025,39420.46376037598,4450,0,1.2875,39420.46376037598,4450,0,1.2875,47444.491439819336,3560,0,1.025,47444.491439819336,3560,0,1.025,37673.90394592285,3560,0,1.025,37673.90394592285,3560,0,1.025,5968.461685180664,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,0,2.941176414489746,2.941176414489746,2.857142925262451,2.857142925262451,0,5.714285850524902,2.777777910232544,5.555555820465088,0,2.857142925262451,5.405405521392822,2.857142925262451,2.857142925262451,2.941176414489746,2.857142925262451,13958311936,0,2209013760,0
199,1760595749495,39126.61479187012,3560,0,1.025,39126.61479187012,3560,0,1.025,39420.73532104492,3560,0,1.025,39420.73532104492,3560,0,1.025,47444.701248168945,3560,0,1.025,47444.701248168945,3560,0,1.025,37674.11169433594,3560,0,1.025,37674.11169433594,3560,0,1.025,5973.120132446289,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,42.85714340209961,40,57.142860412597656,80,40,45,40,45,45,42.85714340209961,40,42.105262756347656,42.85714340209961,40,42.85714340209961,40,13958311936,0,2250960896,0
199,1760595749695,39126.62548828125,3560,0,1.025,39126.62548828125,3560,0,1.025,39420.7413482666,3560,0,1.03125,39420.7413482666,3560,0,1.03125,47444.70747375488,3560,0,1.025,47444.70747375488,3560,0,1.025,37674.11231994629,3560,0,1.025,37674.11231994629,3560,0,1.025,5976.944839477539,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,0,0,68.42105102539063,31.57894515991211,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2309996544,0
199,1760595749896,39126.6329498291,3560,0,1.025,39126.6329498291,3560,0,1.025,39420.77461242676,3560,0,1.03125,39420.77461242676,3560,0,1.03125,47444.958572387695,4450,0,1.2875,47444.958572387695,4450,0,1.2875,37674.11247253418,3560,0,1.03125,37674.11247253418,3560,0,1.03125,5982.016632080078,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,0,0,100,0,50,0,50,0,4.761904716491699,0,45,0,0,0,0,0,13958311936,0,2310254592,0
200,1760595750096,39126.64179992676,3560,0,1.025,39126.64179992676,3560,0,1.025,39420.77470397949,3560,0,1.03125,39420.77470397949,3560,0,1.03125,47445.262115478516,3560,0,1.025,47445.262115478516,3560,0,1.025,37674.115325927734,3560,0,1.03125,37674.115325927734,3560,0,1.03125,5987.025527954102,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,0,0,100,0,55,0,60.000003814697266,0,0,0,57.142860412597656,0,0,0,0,0,13958311936,0,2310254592,0
1,1760595750296,39126.644958496094,3560,0,1.025,39126.644958496094,3560,0,1.025,39420.776275634766,3560,0,1.025,39420.776275634766,3560,0,1.025,47445.31278991699,3560,0,1.025,47445.31278991699,3560,0,1.025,37674.11795043945,3560,0,1.025,37674.11795043945,3560,0,1.025,5988.936004638672,3549,3552,3554,3552,3950,1102,3552,1102,3552,1102,4009,1102,1102,3889,1102,4133,0,0,10,23.809524536132813,9.523809432983398,0,5,0,0,0,5.263157844543457,0,0,0,0,0,13958311936,0,2285436928,0
