Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760639803261,15010.199401855469,3560,0,1.025,15010.199401855469,3560,0,1.025,15729.451141357422,3560,0,1.025,15729.451141357422,3560,0,1.025,31298.46221923828,3560,0,1.025,31298.46221923828,4450,0,1.2875,12243.937042236328,3560,0,1.025,12243.937042236328,3560,0,1.025,39158.71675109863,3552,1102,4275,4338,3548,1102,4413,4301,1102,3552,3552,1102,1102,4393,4441,1102,2.5,0,2.5,0,2.5,2.5,2.5641026496887207,7.317072868347168,2.5,0,2.5,2.5,2.5,0,2.5,2.5,13958311936,0,2214461440,0
199,1760639803261,15010.199401855469,3560,0,1.025,15010.199401855469,3560,0,1.025,15729.45280456543,4450,0,1.28125,15729.45280456543,4450,0,1.28125,31298.46617126465,4450,0,1.2875,31298.46617126465,4450,0,1.2875,12243.93766784668,3560,0,1.025,12243.93766784668,3560,0,1.025,39158.74125671387,3552,1102,4275,4338,3548,1102,4413,4301,1102,3552,3552,1102,1102,4393,4441,1102,2.5,0,2.5,0,2.5,2.5,2.5641026496887207,7.317072868347168,2.5,0,2.5,2.5,2.5,0,2.5,2.5,13958311936,0,2214461440,0
199,1760639803461,15010.405700683594,3560,0,1.025,15010.405700683594,3560,0,1.025,15729.658721923828,3560,0,1.03125,15729.658721923828,3560,0,1.03125,31298.67803955078,3560,0,1.025,31298.67803955078,3560,0,1.025,12244.249816894531,3560,0,1.03125,12244.249816894531,3560,0,1.03125,39163.446044921875,3552,1102,4275,4338,3548,1102,4413,4301,1102,3552,3552,1102,1102,4393,4441,1102,40,42.85714340209961,90,42.85714340209961,42.85714340209961,40,42.85714340209961,45,40,42.85714340209961,40,40,40,50,40,42.85714340209961,13958311936,0,2252705792,0
1,1760639803661,15010.409317016602,1920,1,0.725,15010.409423828125,1920,1,0.725,15729.660675048828,1920,1,0.725,15729.660675048828,3560,1,1.03125,31298.720657348633,3560,0,1.025,31298.720657348633,3560,0,1.025,12244.256362915039,3560,0,1.025,12244.256362915039,3560,0,1.025,39166.588623046875,3552,1102,4275,4338,3548,1102,4413,4301,1102,3552,3552,1102,1102,4393,4441,1102,4.761904716491699,0,75,0,0,0,0,0,0,0,5,0,0,0,0,0,13958311936,0,2266210304,0
