Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760603435650,45798.30226135254,3560,0,1.025,45798.30226135254,3560,0,1.025,46213.783752441406,3560,0,1.025,46213.783752441406,3560,0,1.025,55487.836837768555,3560,0,1.025,55487.836837768555,3560,0,1.025,44191.73321533203,3560,0,1.025,44191.73321533203,3560,0,1.025,61713.860595703125,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,3.125,0,0,3.125,3.0303030014038086,6.25,0,3.125,0,3.125,3.125,0,0,3.125,3.125,13958311936,0,2207010816,0
200,1760603435650,45798.30226135254,3560,0,1.025,45798.30305480957,3560,0,1.025,46213.78439331055,3560,0,1.025,46213.78439331055,3560,0,1.025,55487.837646484375,3560,0,1.025,55487.837646484375,3560,0,1.025,44191.733642578125,3560,0,1.025,44191.733642578125,3560,0,1.025,61713.883544921875,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,3.125,0,0,3.125,3.0303030014038086,6.25,0,3.125,0,3.125,3.125,0,0,3.125,3.125,13958311936,0,2207342592,0
199,1760603435850,45798.31016540527,3560,0,1,45798.31016540527,3560,0,1,46213.86502075195,3560,0,1.025,46213.86502075195,3560,0,1.025,55488.05310058594,3560,0,1.025,55488.05310058594,3560,0,1.025,44191.73727416992,3560,0,1.025,44191.73727416992,3560,0,1.025,61717.941497802734,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,20,0,55,0,0,0,10,0,0,0,0,0,13958311936,0,2235875328,0
200,1760603436051,45798.33224487305,4450,1,0.725,45798.33224487305,4450,0,1.28125,46213.87063598633,4450,0,1.28125,46213.87063598633,4450,0,1.28125,55488.0545501709,3560,0,1.025,55488.0545501709,3560,0,1.025,44191.753662109375,3560,0,1.025,44191.753662109375,3560,0,1.025,61720.207916259766,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,5,0,0,0,0,0,30.000001907348633,0,0,0,0,0,0,4.761904716491699,0,0,13958311936,0,2242510848,0
199,1760603436251,45798.33638000488,3560,0,1.025,45798.33638000488,3560,0,1.025,46213.88124084473,4450,0,1.2875,46213.88124084473,4450,0,1.2875,55488.05961608887,4450,0,1.2875,55488.05961608887,4450,0,1.2875,44191.75541687012,3560,0,1.025,44191.75541687012,3560,0,1.025,61720.67239379883,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2242510848,0
199,1760603436451,45798.343185424805,3560,0,1.025,45798.343185424805,3560,0,1.025,46213.88357543945,3560,0,1.025,46213.88357543945,3560,0,1.025,55488.073959350586,4450,0,1.28125,55488.073959350586,4450,0,1.28125,44191.755920410156,3560,0,1.025,44191.755920410156,3560,0,1.025,61721.168045043945,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,0,13958311936,0,2243796992,0
200,1760603436651,45798.350997924805,3560,0,1.025,45798.350997924805,3560,0,1.025,46213.88528442383,3560,0,1.025,46213.88528442383,3560,0,1.025,55488.07655334473,3560,0,1.025,55488.07655334473,3560,0,1.025,44191.75671386719,3560,0,1.025,44191.75671386719,3560,0,1.025,61721.605728149414,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,0,13958311936,0,2243796992,0
200,1760603436852,45798.35386657715,3560,0,1.025,45798.35386657715,3560,0,1.025,46213.88656616211,3560,0,1.025,46213.88656616211,3560,0,1.025,55488.08084106445,3560,0,1.025,55488.08084106445,3560,0,1.025,44191.76156616211,3560,0,1.025,44191.76156616211,3560,0,1.025,61722.138595581055,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603437052,45798.357681274414,3560,0,1.025,45798.357681274414,3560,0,1.025,46213.886657714844,3560,0,1.025,46213.886657714844,3560,0,1.025,55488.082763671875,3560,0,1.025,55488.082763671875,3560,0,1.025,44191.76884460449,3560,0,1.025,44191.76884460449,3560,0,1.025,61722.70182800293,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603437253,45798.36183166504,3560,0,1.025,45798.36183166504,3560,0,1.025,46213.889404296875,3560,0,1.025,46213.889404296875,3560,0,1.025,55488.08290100098,3560,0,1.025,55488.08290100098,3560,0,1.025,44191.77299499512,3560,0,1.025,44191.77299499512,3560,0,1.025,61723.19223022461,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
199,1760603437453,45798.3698425293,3560,0,1.025,45798.3698425293,3560,0,1.025,46213.89385986328,3560,0,1.025,46213.89385986328,3560,0,1.025,55488.08674621582,3560,0,1.025,55488.08674621582,3560,0,1.025,44191.7751159668,3560,0,1.025,44191.7751159668,3560,0,1.025,61723.822036743164,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603437653,45798.37341308594,3560,0,1.025,45798.37341308594,3560,0,1.025,46213.89646911621,3560,0,1.025,46213.89646911621,3560,0,1.025,55488.09197998047,3560,0,1.025,55488.09197998047,3560,0,1.025,44191.78562927246,3560,0,1.025,44191.78562927246,3560,0,1.025,61724.43406677246,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603437854,45798.387634277344,3560,0,1.025,45798.387634277344,3560,0,1.025,46213.90042114258,3560,0,1.025,46213.90042114258,3560,0,1.025,55488.092056274414,3560,0,1.025,55488.092056274414,3560,0,1.025,44191.79081726074,3560,0,1.025,44191.79081726074,3560,0,1.025,61724.90509033203,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,2.4390242099761963,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603438054,45798.395919799805,3560,0,1.025,45798.395919799805,3560,0,1.025,46213.9016418457,3560,0,1.025,46213.9016418457,3560,0,1.025,55488.102310180664,3560,0,1.025,55488.102310180664,3560,0,1.025,44191.79887390137,3560,0,1.025,44191.79887390137,3560,0,1.025,61725.69123840332,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603438254,45798.40135192871,3560,0,1.025,45798.40135192871,3560,0,1.025,46213.912185668945,3560,0,1.025,46213.912185668945,3560,0,1.025,55488.10238647461,3560,0,1.025,55488.10238647461,3560,0,1.025,44191.798904418945,3560,0,1.025,44191.798904418945,3560,0,1.025,61726.204833984375,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
199,1760603438455,45798.40361022949,3560,0,1.025,45798.40361022949,3560,0,1.025,46213.91223144531,3560,0,1.025,46213.91223144531,3560,0,1.025,55488.10610961914,3560,0,1.025,55488.10610961914,3560,0,1.025,44191.800537109375,3560,0,1.025,44191.800537109375,3560,0,1.025,61726.62203979492,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
199,1760603438655,45798.403869628906,3560,0,1,45798.403869628906,3560,0,1,46213.91230773926,3560,0,1.00625,46213.91230773926,3560,0,1.00625,55488.10903930664,3560,0,1,55488.10903930664,3560,0,1,44191.80056762695,3560,0,1.025,44191.80056762695,3560,0,1.025,61727.06300354004,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
200,1760603438855,45798.40490722656,3560,0,1.025,45798.40490722656,3560,0,1.025,46213.91241455078,3560,0,1.025,46213.91241455078,3560,0,1.025,55488.113693237305,3560,0,1.025,55488.113693237305,3560,0,1.025,44191.80645751953,3560,0,1.025,44191.80645751953,3560,0,1.025,61727.68574523926,3552,1102,3550,3162,4200,1102,3553,1102,3574,1102,4441,1102,3552,1102,3105,1102,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,13958311936,0,2243788800,0
