Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759423857213,6709.1251220703125,2320,1,0.78125,6709.1251220703125,2320,1,0.78125,6641.523132324219,2900,1,0.8875,6641.523132324219,2900,1,0.8875,7906.022552490234,2320,1,0.78125,7906.022552490234,2320,1,0.78125,6270.962875366211,2320,1,0.78125,6270.962875366211,2320,1,0.78125,57107.547790527344,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,5.405405521392822,5.128205299377441,10.526315689086914,5.405405521392822,5.263157844543457,5.128205299377441,5.263157844543457,5.405405521392822,5.263157844543457,2.702702760696411,5.263157844543457,5.128205299377441,2.702702760696411,2.702702760696411,5.263157844543457,2.6315789222717285,13958320128,0,9404186624,0
199,1759423857213,6709.125427246094,2900,1,0.88125,6709.125427246094,2900,1,0.88125,6641.5244140625,2900,1,0.8875,6641.5244140625,2900,1,0.8875,7906.023712158203,2320,1,0.78125,7906.023712158203,2320,1,0.78125,6270.963653564453,2320,1,0.78125,6270.963790893555,2320,1,0.78125,57107.56480407715,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,5.405405521392822,5.128205299377441,10.526315689086914,5.405405521392822,5.263157844543457,5.128205299377441,5.263157844543457,5.405405521392822,5.263157844543457,2.702702760696411,5.263157844543457,5.128205299377441,2.702702760696411,2.702702760696411,5.263157844543457,2.6315789222717285,13958320128,0,9404186624,0
200,1759423857413,6709.182373046875,4450,0,1.2875,6709.18505859375,4450,0,1.2875,6641.553161621094,3560,0,1.025,6641.553161621094,3560,0,1.025,7906.217208862305,3560,0,1.025,7906.217208862305,3560,0,1.025,6270.984115600586,3560,0,1.03125,6270.984115600586,3560,0,1.03125,57110.97282409668,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,0,0,33.333335876464844,52.38095474243164,0,0,0,4.761904716491699,0,0,15.000000953674316,0,4.761904716491699,0,0,0,13958320128,0,9431760896,0
199,1759423857613,6709.206115722656,2900,1,0.88125,6709.206115722656,2900,1,0.88125,6641.579971313477,2320,1,0.7875,6641.579971313477,2320,1,0.7875,7906.250961303711,2320,1,0.78125,7906.250961303711,2320,1,0.78125,6271.035385131836,2900,1,0.8875,6271.035385131836,2900,1,0.8875,57112.504623413086,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,4.761904716491699,0,5,25,0,0,0,0,0,0,5,0,0,0,5,0,13958320128,0,9435922432,0
199,1759423857813,6709.2161865234375,2320,1,0.78125,6709.2161865234375,2320,1,0.78125,6641.590225219727,2320,1,0.7875,6641.590225219727,2320,1,0.7875,7906.258346557617,2320,1,0.78125,7906.258346557617,2320,1,0.78125,6271.051361083984,2900,1,0.8875,6271.051361083984,2900,1,0.8875,57113.20291137695,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,4.761904716491699,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,13958320128,0,9431896064,0
199,1759423858013,6709.231018066406,2900,1,0.88125,6709.231018066406,2900,1,0.88125,6641.601455688477,2900,1,0.8875,6641.601486206055,2900,1,0.8875,7906.270416259766,2900,1,0.88125,7906.270416259766,2900,1,0.88125,6271.067489624023,2320,1,0.78125,6271.067489624023,2320,1,0.78125,57114.002365112305,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,5,0,5,5,9.523809432983398,0,5,0,5,0,0,0,9.523809432983398,0,0,0,13958320128,0,9431212032,0
199,1759423858213,6709.254333496094,2320,1,0.78125,6709.254333496094,2320,1,0.78125,6641.610488891602,2320,1,0.7875,6641.610488891602,2320,1,0.7875,7906.280456542969,2900,1,0.88125,7906.280456542969,2900,1,0.88125,6271.075454711914,2320,1,0.78125,6271.075454711914,2320,1,0.78125,57114.754623413086,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,0,0,9.523809432983398,0,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,13958320128,0,9428250624,0
199,1759423858413,6709.260269165039,2320,1,0.78125,6709.260269165039,2320,1,0.78125,6641.624298095703,2320,1,0.7875,6641.624298095703,2320,1,0.7875,7906.288726806641,2320,1,0.78125,7906.288726806641,2320,1,0.78125,6271.082504272461,2320,1,0.78125,6271.082504272461,2320,1,0.78125,57115.45603942871,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,4.761904716491699,0,5.263157844543457,0,0,0,5,0,0,0,5,0,0,0,0,0,13958320128,0,9428250624,0
199,1759423858614,6709.270309448242,2900,1,0.88125,6709.270309448242,2900,1,0.88125,6641.640655517578,2320,1,0.7875,6641.640655517578,2320,1,0.7875,7906.300140380859,2320,1,0.78125,7906.300140380859,2320,1,0.78125,6271.090255737305,2320,1,0.78125,6271.090255737305,2320,1,0.78125,57116.25477600098,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,0,0,5,0,5,0,5,0,4.761904716491699,0,0,0,0,0,0,0,13958320128,0,9428250624,0
199,1759423858814,6709.280914306641,2900,1,0.88125,6709.280914306641,2900,1,0.88125,6641.650939941406,2900,1,0.8875,6641.650939941406,2900,1,0.8875,7906.3140869140625,2320,1,0.78125,7906.3140869140625,2320,1,0.78125,6271.0992431640625,2320,1,0.78125,6271.0992431640625,2320,1,0.78125,57117.08270263672,4440,1102,4441,1102,4441,1102,3553,1102,3553,1102,4441,1102,4441,4445,4441,1102,0,0,5,0,5,0,5,0,4.761904716491699,0,0,0,0,0,0,0,13958320128,0,9422536704,0
