Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760631084087,6112.610275268555,3560,0,1.025,6112.610275268555,3560,0,1.025,6770.44548034668,3560,0,1.025,6770.44548034668,3560,0,1.025,21088.145111083984,3560,0,1.025,21088.145111083984,3560,0,1.025,3581.4420318603516,3560,0,1.025,3581.4420318603516,3560,0,1.025,31917.693298339844,3552,1102,3552,1102,1102,3552,4267,3620,3552,1102,3553,1102,1102,4432,3553,1102,3.22580623626709,3.125,9.375,0,0,6.25,6.25,3.22580623626709,3.22580623626709,3.125,6.25,6.25,6.25,3.125,0,6.25,13958311936,0,2219757568,0
200,1760631084087,6112.610275268555,4450,0,1.2875,6112.614074707031,4450,0,1.2875,6770.446029663086,3560,0,1.025,6770.446029663086,3560,0,1.025,21088.145477294922,3560,0,1.025,21088.145477294922,3560,0,1.025,3581.4425048828125,3560,0,1.025,3581.4425048828125,3560,0,1.025,31917.717880249023,3552,1102,3552,1102,1102,3552,4267,3620,3552,1102,3553,1102,1102,4432,3553,1102,3.22580623626709,3.125,9.375,0,0,6.25,6.25,3.22580623626709,3.22580623626709,3.125,6.25,6.25,6.25,3.125,0,6.25,13958311936,0,2219757568,0
199,1760631084287,6112.900787353516,3560,0,1.025,6112.900817871094,3560,0,1.025,6770.641128540039,3560,0,1.03125,6770.641128540039,3560,0,1.03125,21088.339889526367,3560,0,1.025,21088.339889526367,3560,0,1.025,3581.6478729248047,3560,0,1.025,3581.6478729248047,3560,0,1.025,31922.371536254883,3552,1102,3552,1102,1102,3552,4267,3620,3552,1102,3553,1102,1102,4432,3553,1102,47.619049072265625,42.85714340209961,40,42.85714340209961,52.38095474243164,40,45,80.95238494873047,40,40,40,40,40,45,42.85714340209961,40,13958311936,0,2261585920,0
199,1760631084487,6112.903244018555,3560,0,1.025,6112.903244018555,3560,0,1.025,6770.641525268555,3560,0,1.03125,6770.641525268555,3560,0,1.03125,21088.50701904297,3560,0,1.025,21088.50701904297,3560,0,1.025,3581.657440185547,3560,0,1.025,3581.657440185547,3560,0,1.025,31926.428634643555,3552,1102,3552,1102,1102,3552,4267,3620,3552,1102,3553,1102,1102,4432,3553,1102,4.761904716491699,0,0,0,0,0,15.000000953674316,70,0,0,10.526315689086914,0,0,0,0,0,13958311936,0,2299736064,0
200,1760631084687,6112.909759521484,4175,0,1.225,6112.909759521484,4175,0,1.225,6770.775100708008,3340,0,0.975,6770.775100708008,3340,0,0.975,21088.66050720215,4175,0,1.24375,21088.66050720215,4175,0,1.24375,3581.6575927734375,3340,0,0.975,3581.6575927734375,3340,0,0.975,31930.793045043945,3552,1102,3552,1102,1102,3552,4267,3620,3552,1102,3553,1102,1102,4432,3553,1102,0,0,15.789472579956055,0,0,0,100,0,28.571430206298828,0,33.333335876464844,0,0,0,10,0,13958311936,0,2339549184,0
1,1760631084888,6112.921829223633,4450,0,1.28125,6112.92204284668,4450,0,1.28125,6770.777252197266,3560,0,1.03125,6770.777252197266,3560,0,1.03125,21088.76466369629,3560,0,1.025,21088.76466369629,3560,0,1.025,3581.657730102539,3560,0,1.025,3581.657730102539,3560,0,1.025,31933.268936157227,3552,1102,3552,1102,1102,3552,4267,3620,3552,1102,3553,1102,1102,4432,3553,1102,0,0,23.809524536132813,0,23.809524536132813,0,28.571430206298828,20,0,0,20,0,0,0,0,0,13958311936,0,2314850304,0
